(E)2003-61@@http://dx.doi.org/10.1080/01650424.2011.597405@     ception trap/K. A. Jackson D. Carpenter BMNH{E}2003–61’’ (BMNH). Paratype: 1<, same
B.M. 1927-63@Pseudochironomous @http://dx.doi.org/10.1080/01650420902787556@     Museum (Natural History) (BMNH). A male, identiﬁed from a mixed sample, will
20030494@@http://dx.doi.org/10.1080/00222930701862674@      H, Hyotissa sinensis (NHM 20030494), height6length51296117 mm; I, Spondylus cf.
2000.266@@http://dx.doi.org/10.1080/00222930010025932@      2980 m, 14 June 1981 ( Registration No. NHM 2000.266).
2000.147 3@@http://dx.doi.org/10.1080/00222930010025932@         Material. One male, sample WS638 ( Registration No. NHM.2000.147 3); one
 NHM.2000.2257-225@@http://dx.doi.org/10.1080/00222930010025932@      NHM.2000.2257-225 8).
 NHM.2000.1473@@http://dx.doi.org/10.1080/00222930010025932@                 (NHM.2000.1473 )
1906.10.12.86@@http://dx.doi.org/10.1080/00222930802604157@      Lepidopleurus andamanicus Smith, 1906, p. 251 [lectotype BMNH 1906.10.12.86
1986:58:00@@http://dx.doi.org/10.1080/00222930802604157@         (designated by Kaas and Van Belle 1985: 118), three paralectotypes BMNH
1906.10.12.86@@http://dx.doi.org/10.1080/00222930802604157@      BMNH 1906.10.12.86 (lectotype, designated by Kaas and Van Belle 1985);
1906.10.12.86@@http://dx.doi.org/10.1080/00222930802604157@      Lepidopleurus andamanicus lectotype BMNH 1906.10.12.86; L. andamanicus para-
1906.10.12.87-89@@http://dx.doi.org/10.1080/00222930802604157@      lectotypes BMNH 1906.10.12.87-89; L. andamanicus paralectotype pro parte RMNH
1955-832@@http://dx.doi.org/10.1080/00222930601059082@      Luang, 2000 ft, at light, 21 March 1922 (H. M. Pendlebury) (BMNH, Lallemand Coll. B.
B.M. 1955-832@@http://dx.doi.org/10.1080/00222930601059082@      M. 1955–832) (BMNH).
1978–206@@http://dx.doi.org/10.1080/00222930601059082@      Holloway RGS Mulu exped., B. M. 1978–206 (BMNH).
2004.4118@@http://dx.doi.org/10.1080/00222930500060397@      Holotype: adult „ (dissected on to four slides) from Loch Kishorn, NHM Reg.
2004.4119–4157@@http://dx.doi.org/10.1080/00222930500060397@      preserved) from Loch Kishorn, NHM Reg. Nos 2004.4119–4157; seven adult RR and nine
2004.4158–4173@@http://dx.doi.org/10.1080/00222930500060397@      adult „„, spirit preserved from Loch Diabaig, NHM Reg. Nos 2004.4158–4173.
2004.4174@@http://dx.doi.org/10.1080/00222930500060397@      of Scilly, NHM Reg. No. 2004.4174. Paratypes: two adult RR (one dissected on to four
2004.4175-4179@@http://dx.doi.org/10.1080/00222930500060397@      slides) and three adult „„ from the same locality, spirit preserved, NHM Reg. Nos
1967.10.31.48.361.6@@http://dx.doi.org/10.1080/00222930500060397@      Head and Darrity’s Hole, St Mary’s, Isles of Scilly, NHM Reg. No. 1967.10.31.48.361.6.
2004.4180-4191@@http://dx.doi.org/10.1080/00222930500060397@      seven copepodids from coarse intertidal sand on St Martin’s, Isles of Scilly, NHM Reg.
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      (D) BMNH 2008.636 (female, ST-NG1 = 12.8 mm); (E) ZSI/WGRC/V/A/854 (female,
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      one (BNHS 5565, 5542; BMNH 2008.636; UMMZ 241818) or two (BNHS 5541. 5543;
2008.636.@@http://dx.doi.org/10.1080/00222933.2012.717972@      BMNH 2008.636.
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      (BNHS 5565; BMNH 2008.636, UMMZ 241818) lateral stripe.
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      ZSI/WGRC/V/A/856 and BMNH 2008.636 for which precise accurate counts could
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      in BMNH 2008.636) annuli anterior to cap, almost level with posterior of vent. Pillai
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      imens, but in BMNH 2008.636 and UMMZ 241818 the stripe closely approaches a
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      at first annulus (also in BMNH 2008.636), midbody and near vent; four rows in
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      BMNH 2008.636, UMMZ 241818) annuli; ZSI/WGRC/V/A/856 (271 mm) has five
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      2.5–3 annuli deep in BMNH 2008.636, UMMZ 241818.
2008.636@@http://dx.doi.org/10.1080/00222933.2012.717972@      5541, BMNH 2008.636 and UMMZ 241818. Ridge bearing VPs not visible in lat-
1909.3.3.23-24@@http://dx.doi.org/10.1080/00222930801995770@      151 mm SL. Nigeria: BMNH 1909.3.3.23-24: Aro, Ogun River (Nigeria), 42–44 mm
1953.4.28.5-6@@http://dx.doi.org/10.1080/00222930801995770@      SL; BMNH 1953.4.28.5-6: Ogun River (Nigeria), Coll. E. Trewavas, 89 mm SL (only
1956.9.6.15@@http://dx.doi.org/10.1080/00222930801995770@      one specimen); BMNH 1956.9.6.15: Ikorodu, Lagos lagoon (Nigeria), 39 mm SL;
1959.8.18.57@@http://dx.doi.org/10.1080/00222930801995770@      BMNH 1959.8.18.57: Adboyi Creek, Lagos (Nigeria), 76 mm SL.
2005.9.9.1@@http://dx.doi.org/10.1080/00222930801995770@      Expedition, 135 mm SL; BMNH 2005.9.9.1: Gambia, 230 mm SL (holotype S.
2005.7.26.312-314@@http://dx.doi.org/10.1080/00222930801995770@      Vandewalle, 118–131 mm SL; BMNH 2005.7.26.312-314: Pendjari (Benin), Coll.
1850.7.29.15@@http://dx.doi.org/10.1080/00222930801995770@      BMNH 1850.7.29.15: Cairo, Nile (Egypt), 56–132 mm SL (paralectotypes S.
1895.12.31.68@@http://dx.doi.org/10.1080/00222930801995770@      Coll. Bishai and A. Gudeiri, 171 mm SL. Ethiopia: BMNH 1895.12.31.68: Lake
1965.7.20.1@@http://dx.doi.org/10.1080/00222930110089139@      registered number for the specimen (BMNH 1965.7.20.1) implies that it was not
1912.3.2.22-26@@http://dx.doi.org/10.1080/00222930110089139@      Therefore, unequivocally, specimens in series BMNH 1912.3.2.22 –26 are not  sh
1999@@http://dx.doi.org/10.1080/713833844@         Material examined. Holotype: NHML reg. 1999: adult male (cw 77.2, cl 52.4, ch
1907-200@@http://dx.doi.org/10.1080/00222930802610477@      Thomson, 1907-200’’ (BMNH, RMNH).
 1914-71@@http://dx.doi.org/10.1080/00222930802610477@      1914-71’’, ‘‘Not in Gen. insect., G. Nixon, 7.ii.[19]58’’ (BMNH).
1909.9.2.1@@http://dx.doi.org/10.1080/00222930050117521@      from Tavoy, a juvenile male (NHM 1909.9.2.1 ), presented to the Natural History
 241.83.77@@http://dx.doi.org/10.1080/00222930903437358@      No: 241.83.77). Molecular work conducted at the NHM was supported through funds
1999.154@@http://dx.doi.org/10.1080/00222930110101387@          Type material. Female holotype (BMNH Reg. No. 1999.1540); 10 female
1999.1541-1550@@http://dx.doi.org/10.1080/00222930110101387@      paratypes (BMNH Reg. Nos 1999.1541 ± 1550).
1999.1535@@http://dx.doi.org/10.1080/00222930110101387@         Type material. Female holotype (BMNH Reg. No. 1999.1535) ; four female
1999.1536-1539@@http://dx.doi.org/10.1080/00222930110101387@      paratypes (BMNH Reg. Nos 1999.1536 ± 1539).
1909.5.1.8.@@http://dx.doi.org/10.1080/00222930110051743@      (NHM 1909.5.1.8.) and 1        ( USNM 42774 ), all exchanged or presented by the
1909.9.2.2@@http://dx.doi.org/10.1080/00222930110051743@      Indian Museum; one : NHM 1909.9.2.2., upper Tenasserim, Indian Museum.
1909.9.2.1@@http://dx.doi.org/10.1080/00222930110051743@          Type material. Burma: one (NHM: 1909.9.2.1), Tavoy: 14ß 05¾ 00² N 98ß 12¾ 00² E,
2004. 74–75)@@http://dx.doi.org/10.1080/00222930410001671291@      as RMNH D 50431; one male and one female (NHM 2004. 74–75), same data as RMNH
59.9.6@@http://dx.doi.org/10.1080/00222933.2012.717646@      R-75824, AMNH R-85312, NHMUK 59.9.6). Gekkonidae: Lygodactylus gutturalis
1888.11.9.16@@http://dx.doi.org/10.1080/0022290310001613566@      holotype (damaged) (NHM 1888.11.9.16). Nautiperc station NP 1-1-10, 05‡36.38’S,
1935.1.25.2@@http://dx.doi.org/10.1080/0022290310001613566@      holotype (damaged) (NHM 1935.1.25.2).
1888.11.9.16@@http://dx.doi.org/10.1080/0022290310001613566@      spines (NHM 1888.11.9.16), tubercles (EcCh 237) or smooth (EcCh 236); width
48127:19:12@@http://dx.doi.org/10.1080/00222933.2011.651646@      1966: 316, 317; Liang et al., 2005: 305. Holotype male, Australia (Victoria) (BMNH)
1906–167@@http://dx.doi.org/10.1080/00222930601127384@      (BMNH); 3 ex., Table Mt., 1906–167, W. Bevins (BMNH); 6 ex., Stellenbosch, 33.56S/
II.1932@@http://dx.doi.org/10.1080/00222930601127384@      (BMNH); 1 ex., Ceres, II.1932 (BMNH); 3 ex., Huguenot, 31.05S/26.36E, II.1932, L.
C.I.E.15771@@http://dx.doi.org/10.1080/00222930410001708678@      15771’’ (BMNH). Paratypes: two males, same data as holotype, one specimen lacking
1994.31.@@http://dx.doi.org/10.1080/00222930310001618903@         Schauff, 1994: 31. Sri Lanka (BMNH, not examined).
1994.33@@http://dx.doi.org/10.1080/00222930310001618903@         transferred into Platyplectrus by Wijesekara and Schauff, 1994: 33 (BMNH, not
1925.7.2.23–25@@http://dx.doi.org/10.1080/0022293021000010331@          Material examined. BMNH 1925.7.2.23–25 (not individually labelled, in series
1952.1.1.96–97@@http://dx.doi.org/10.1080/0022293021000010331@      with three M. melanopleura; Antsihanaka); BMNH 1952.1.1.96–97 (20 miles E
1896.10.9.34 @@http://dx.doi.org/10.1080/0022293021000010331@          Material examined. BMNH 1896.10.9.34 (Ivohimanitra); BMNH 1892.3.7.42
1892.3.7.42@@http://dx.doi.org/10.1080/0022293021000010331@          Material examined. BMNH 1896.10.9.34 (Ivohimanitra); BMNH 1892.3.7.42
1925.7.2.26–28@@http://dx.doi.org/10.1080/0022293021000010331@      (Sahambendrana); BMNH 1925.7.2.26–28 (in a series with three M. opiparis;
1952.1.1.98@@http://dx.doi.org/10.1080/0022293021000010331@      Antsihanaka); BMNH 1952.1.1.98 (Ivohibe, 4000 ft); BMNH 1986.4 (Zahamena,
1986.4@@http://dx.doi.org/10.1080/0022293021000010331@      Antsihanaka); BMNH 1952.1.1.98 (Ivohibe, 4000 ft); BMNH 1986.4 (Zahamena,
1892.3.7.43–46@@http://dx.doi.org/10.1080/0022293021000010331@          Further material. BMNH 1892.3.7.43–46 (Sahambendrana); BMNH
1955.1.1.80@@http://dx.doi.org/10.1080/0022293021000010331@      1952.1.1.78–79 (Rantabe, Antongil bay); BMNH 1955.1.1.80 (Nosy Mangabe).
56 44@@http://dx.doi.org/10.1080/00222933.2010.488811@      female Sar[awak], “56 44”, (BMNH); one female Johore [West Malaysia], Lenggor
B.M. TYPE HYM. 3.c.432@@http://dx.doi.org/10.1080/00222933.2010.488811@      v-maculata Cam. Khasia”, “B.M. TYPE HYM. 3.c.432” (BMNH).
3c.433@@http://dx.doi.org/10.1080/00222933.2010.488811@      “Bracon orientalis Cam. Type Khasia”, “3c.433” (BMNH).
1932.114@@http://dx.doi.org/10.1080/00222930010023457@      Pyrgauchenia angulata Funkhouser, 1932: 114. Holotype          . Sabah (BMNH), examined,
1932.113@@http://dx.doi.org/10.1080/00222930010023457@      Pyrgauchenia brunnea Funkhouser, 1932: 113. Holotype           . Sabah (BMNH ), examined,
B.M.1955-354@@http://dx.doi.org/10.1080/00222930010023457@      houser.’, `Ex F.M.S./Museum./B.M.1955-354’ ); 1 Malaysia, Pahang, BMNH
20050567@@http://dx.doi.org/10.1080/00222930600845218@      (T2035/V7488, two specimens; BMNH 20050567, one specimen). Mpumalanga: Sabie
20050568@@http://dx.doi.org/10.1080/00222930600845218@      BMNH 20050568, two specimens; NMW.Z.2005.035.00002, two specimens; RMNH
1937.12.30.862-5@@http://dx.doi.org/10.1080/00222930600845218@      Type material. Holotype and two paratypes (BMNH 1937.12.30.862-5), three paratypes
1935-240@@http://dx.doi.org/10.1080/0022290310001657892@      Tambourine Mountains, 11–18 April 1935, R. E. Turner (BM 1935-240), in BMNH.
15.296@@http://dx.doi.org/10.1080/0022290310001657892@      15.296), Kokoda, 366 m (1200 ft), May 1933, L. E. Cheesman, in BMNH. Central
(E)1999-120@@http://dx.doi.org/10.1080/713834392@      from seed of; Dipterocarpus; kunstleri’ and ‘BMNH ( E ); 1999-120’ and
1960.8.29.41@@http://dx.doi.org/10.1080/00222930400005765@      operculata Ja¨derholm, 1903; part of holotype as BMNH 1960.8.29.41) ‘‘Nordenskjo¨lds
1960.8.29.41@@http://dx.doi.org/10.1080/00222930400005765@      branches), and BMNH 1960.8.29.41 (four fragments, namely a top part of the colony
46158:36:00@@http://dx.doi.org/10.1080/00222930110066846@      Simulium bipunctatum Austen, 1923: 275. Holotype , Iraq (‘Mesopotamia’) (BMNH )
2523@@http://dx.doi.org/10.1080/00222933.2011.559691@      “Chiloe / 2523 (on reverse)” [handwritten label]. 4 males (NHM): “Chiloe I., /
M589@@http://dx.doi.org/10.1080/00222930903207868@      2么么 1乆, May 1936; 1乆, July 1936, both M589 (BMNH).
1899.8.26.2@@http://dx.doi.org/10.1080/002229301300009649@              riversandersoni, syntype, NHML 1899.8.26.2 , male; (D) Charybdis crosnieri, paratype
1987.2.33@@http://dx.doi.org/10.1080/00222933.2010.504892@      BMNH 1990.6.2; Cephalothrix orientalis (Gibson, 1990), holotype, BMNH 1987.2.33;
1987.2.27@@http://dx.doi.org/10.1080/00222933.2010.504892@      narius Gibson, 1990, BMNH 1987.2.27); (C) Cephalothrix kefersteini Senz, 2000 (holotype,
1990.6.2@@http://dx.doi.org/10.1080/00222933.2010.504892@      oestrymnica Gibson, 1991, BMNH 1990.6.2); (E) Cephalothrix orientalis (Gibson, 1990) (holo-
1920.5.26.1@@http://dx.doi.org/10.1080/00222933.2012.708449@      Syntypes. BMNH 1920.5.26.1 (two syntypes, two examined), MRAC 14352–54
1920.5.26(2)@@http://dx.doi.org/10.1080/00222933.2012.708449@      Table 1. Principal morphometric ratios and meristic counts for three syntypes [BMNH
1921.5.1.438.@@http://dx.doi.org/10.1080/00222930050144783@      BMNH 1921.5.1.438. 1 spm. oŒthe Hebrides, Scotland, dredged, J. G. JeŒreys,
1921.5.1.440.@@http://dx.doi.org/10.1080/00222930050144783@      July, BMNH 1921.5.1.440. 2 spms., St. 6, 48 ß 26 ¾ N, 9 ß 44¾ W, dredged, 358 fathoms,
1921.5.1.437.@@http://dx.doi.org/10.1080/00222930050144783@      11 July 1870, sandy bottom, BMNH 1921.5.1.437. Possible additional syntypes:
1921.5.1.436.@@http://dx.doi.org/10.1080/00222930050144783@      1 spm., oŒBalta, Scotland, BMNH 1921.5.1.436. 1 spm., The Minch, Hebrides,
1921.5.1.439.@@http://dx.doi.org/10.1080/00222930050144783@      Scotland, BMNH 1921.5.1.439.
1885.12.1.76@@http://dx.doi.org/10.1080/00222930050144783@      BMNH 1885.12.1.76 (bad shape, dry).
1963.1.2.@@http://dx.doi.org/10.1080/00222930050144783@      Province, 33 ß 06,4 ¾ S 17 ß 47,2 ¾ E, 141 m, leg. and det. Prof. J. H. Day, BMNH 1963.1.2.
1924.3.1.82@@http://dx.doi.org/10.1080/00222930050144783@      are poor and the type specimen (BMNH 1924.3.1.82) is in such bad shape that we
1885.12.1.102@@http://dx.doi.org/10.1080/00222930050144783@      hard ground, BMNH 1885.12.1.102 (in bad shape, elytra missing). 1spm., St. 124,
2005.157@@http://dx.doi.org/10.1080/00222930500087408@      NHM 2005.157. Copepodid V female (paratype), damaged, whole specimen; NHM
2005.159@@http://dx.doi.org/10.1080/00222930500087408@      2002; appendages mounted on glass slides, and body proper in vial; NHM 2005.159.
2005.16@@http://dx.doi.org/10.1080/00222930500087408@      NHM 2005.160.
2005.161@@http://dx.doi.org/10.1080/00222930500087408@      vial; NHM 2005.161.
1911.10.1.523@@http://dx.doi.org/10.1080/00222930500415195@      mentioned above (NHM 1911.10.1.523). Therefore, the presence of vicarious avicularia
2005.7.11.1@@http://dx.doi.org/10.1080/00222930500415195@      and uncoated (YPM 35833). Paratype 2: ETN, unbleached and uncoated (NHM
2005.7.11.2@@http://dx.doi.org/10.1080/00222930500415195@      and uncoated (NHM 2005.7.11.2). Paratype 2: KV, specimen KE-17 unbleached and
2005.7.11.3@@http://dx.doi.org/10.1080/00222930500415195@      SEM (NHM 2005.7.11.3). Paratype 4: KV, specimen KE-37 unbleached and coated for
1963.12.30.43@@http://dx.doi.org/10.1080/00222930500415195@         We have examined the type specimen of C. corbicula (NHM 1963.12.30.43; locality
 2005.7.11.4@@http://dx.doi.org/10.1080/00222930500415195@      specimen KE-119 bleached and coated for SEM (NHM 2005.7.11.4). Paratype 3: SC,
 2005.7.11.5@@http://dx.doi.org/10.1080/00222930500415195@      Paratype 5: SC, specimen KE-13 bleached and coated for SEM (NHM 2005.7.11.5).
2005.7.11.6@@http://dx.doi.org/10.1080/00222930500415195@      for SEM (NHM 2005.7.11.6). Paratype 5: ETN, unbleached and uncoated (NHM
2005.7.11.7@@http://dx.doi.org/10.1080/00222930500415195@      for SEM (NHM 2005.7.11.6). Paratype 5: ETN, unbleached and uncoated (NHM
1964.1.2.15@@http://dx.doi.org/10.1080/00222930500415195@        Soule et al. (1995) declared a lectotype (NHM 1964.1.2.15) for P. columbiana
 2005.7.11.8@@http://dx.doi.org/10.1080/00222930500415195@      specimen KE-101, bleached and coated for SEM (NHM 2005.7.11.8).
1886.3.6.49.@@http://dx.doi.org/10.1080/00222930500415195@         We have examined (Dick and Mawatari 2005) a NHM specimen labelled ‘‘1886.3.6.49.
2005.7.11.9@@http://dx.doi.org/10.1080/00222930500415195@      and uncoated (NHM 2005.7.11.9). Paratype 2: ETN, specimen Rhy-4a bleached and
2005.7.11.9@@http://dx.doi.org/10.1080/00222930500415195@      type colony of R. tumulosum (NHM 1886.3.6.49) from the Queen Charlotte Islands,
1899.6.27.38@@http://dx.doi.org/10.1080/00222930701381543@      Holotype: BMNH 1899.6.27:38; Upper Congo. Purchased by Brussels University
1920-5-17.5–6@@http://dx.doi.org/10.1080/00222930701381543@      Boulenger (1916). However, these specimens (BMNH 1920-5-17:5–6) are B. microstoma.
1975.6.20.172–174@@http://dx.doi.org/10.1080/00222930701381543@      (BMNH 1975.6.20:172–174), still catalogued as B. yseuxi, also belong to B. microstoma.
1920.5.17.5–6@@http://dx.doi.org/10.1080/00222930701381543@      microstoma [BMNH 1920.5.17:5–6 (132.9 mm SL)], all three of which also have 7.5 scales.
1919.9.10.100@@http://dx.doi.org/10.1080/00222930701381543@      Republic of Congo). Paugy (1984) erroneously reported a holotype for B. macrops (BMNH
1919.9.10.102–103@@http://dx.doi.org/10.1080/00222930701381543@      MRAC 7230 (1) (see Eschmeyer 1998 and MRAC catalogue) and BMNH 1919.9.10.102–
1919.9.10.101@@http://dx.doi.org/10.1080/00222930701381543@      can be found: four of four from Bafwasende [BMNH 1919.9.10.101 (1); MRAC 7225–
1919.9.10:100@@http://dx.doi.org/10.1080/00222930701381543@      7227 (3)]; three of four from Avakubi [BMNH 1919.9.10:100 (1); MRAC 7228–7229
1920.5.17.5–6@@http://dx.doi.org/10.1080/00222930701381543@      Cameroon: BMNH 1920.5.17.5–6; Dja River basin; purchased by G. Bates, 1920 (132.9–
1873.7.28.25–26@@http://dx.doi.org/10.1080/00222930701381543@         Democratic Republic of Congo: BMNH 1873.7.28:25–26 (syntype); ‘‘Boma’’, Lower
1975.6.20.17-174@@http://dx.doi.org/10.1080/00222930701381543@      Congo (,5u069S, 23u139E); purchased by Monteiro, 1873 (76.4–87.1 mm SL). BMNH
1919.9.10.100.@@http://dx.doi.org/10.1080/00222930701381543@        Democratic Republic of Congo: BMNH 1919.9.10: 100 (syntype); Avakubi (,1u209N,
1908.7.7.102–110@@http://dx.doi.org/10.1080/00222930802277608@      4.8–6.5 mm), three ovig. RR (BL 4.5–5.5 mm) (syntypes; NHM 1908.7.7.102–110);
1964.1.21. 2769/2962@@http://dx.doi.org/10.1080/00222930802277608@      (topotypes; NHM 1964.1.21. 2769/2962). Chilka Lake: Koh Kong, Nalbano, five „„
1966.1.21. 3067/3116@@http://dx.doi.org/10.1080/00222930802277608@      9.0 mm), one juv. (BL –), 25 January 1900 (NHM 1966.1.21. 3067/3116; slightly
1964.1.21.2769/2962@@http://dx.doi.org/10.1080/00222930802277608@      one ovig. R (BL 6.5 mm) (slightly damaged), 21 May 1921 and 11 June 1921 (NHM
 1965.9.2@@http://dx.doi.org/10.1080/00222930802277608@      specimens collected from the Malacca Strait (NHM 1965.9.2, collected in July 1962)
1964.1.21.3023/3046@@http://dx.doi.org/10.1080/00222930802277608@      Malacca Strait (NHM 1964.1.21.3023/3046) were referred to M. tenuipes because
1964.1.21.3023/3046@@http://dx.doi.org/10.1080/00222930802277608@      7.0 mm), one ovig. R (BL 5.8 mm), three juv. (BL 3.9–4.1 mm), B68 1(C) (NHM
1965.9.2.217–296@@http://dx.doi.org/10.1080/00222930802277608@      ovig. RR (BL 6.5–7.5 mm) (NHM 1965.9.2.217–296).
1964.1.21.3023/3046@@http://dx.doi.org/10.1080/00222930802277608@      B60 1(C) (NHM 1964.1.21.3023/3046).
1909.6.1.1–20@@http://dx.doi.org/10.1080/00222930802277608@      5.5 mm), two ovig. RR (BL 5.5, 5.7 mm) (NHM 1909.6.1.1–20). Nalbano, Chilka Lake,
1964.1.21 2769/2962@@http://dx.doi.org/10.1080/00222930802277608@      7.5 mm), one R (BL ca 7 mm) (NHM 1964.1.21 2769/2962). Vizagapatam: Vizagapatam
 1964.1.21.3076/3116@@http://dx.doi.org/10.1080/00222930802277608@      backwater, two „„ (BL ca 5, ca 6.5 mm) (NHM 1964.1.21.3076/3116). Madras
236365@@http://dx.doi.org/10.1080/00222930701437360@      Tanytarsus (Stempellina) brevis Edwards 1929, p 420. Lectotype „ (BMNH 236365)
236372@@http://dx.doi.org/10.1080/00222930701437360@      Tanytarsus (Stempellina) minor Edwards 1929, p 420. Lectotype „ (BMNH 236372)
235923@@http://dx.doi.org/10.1080/00222930701437360@           (BMNH 235923, 235924) Wales, Newtown, 30 August 1893, G. Richardo
235921@@http://dx.doi.org/10.1080/00222930701437360@      Tanytarsus (Stempellina) flavidulus Edwards 1929, p 420. Lectotype „ (BMNH 235921,
236369@@http://dx.doi.org/10.1080/00222930701437360@           Paralectotypes: 1„ (BMNH 236468) as lectotype [examined]; 1„ (BMNH 236369)
 SO496738@@http://dx.doi.org/10.1080/00222930902993732@      (BMNH); Shropshire, Whitcliffe, SO496738, 1 female, 21–24 May 2007, old oak
SO8175@@http://dx.doi.org/10.1080/00222930902993732@      (BMNH); Worcestershire, Devil’s Spittleful, SO8175, 1 male, 7 June 1994, Notton,
SU20@@http://dx.doi.org/10.1080/00222930902993732@      J.S. (BMNH); Hampshire, New Forest, Rhinefield, SU20, 1 female, 8–21 June
SU718773@@http://dx.doi.org/10.1080/00222930902993732@      (?Trifolium sp.), Milne, D.L. (BMNH); Reading, Emmer Green, SU718773, 3 males,
TQ2278@@http://dx.doi.org/10.1080/00222930902993732@      det. D. Notton, 2007 (BMNH); Newport, Marshfield, TQ2278, 1 female, 8 November
ST9520@@http://dx.doi.org/10.1080/00222930902993732@      1970, Boucek, Z. (BMNH). Wiltshire, Ox Drove, ST9520, 1 female, 28 August 1994,
93.6.9.14a@@http://dx.doi.org/10.1080/713834391@      holotype (BMNH 93.6.9.14a) and the wet specimen, and several slides of a specimen
24.9.1.5a@@http://dx.doi.org/10.1080/713834391@      from Dendy’s collection from the Houtman Abrolhos (BMNH 24.9.1.5a). Our
NHM670774@@http://dx.doi.org/10.1080/00222930902807783@Parania sp.                                       Madagascar                            NHM670774        EU378323
    NHM723881 @@http://dx.doi.org/10.1080/00222930902807783@Spilopimpla sp. B                                    Madagascar                            NHM723881        EU378356
 NHM723885@@http://dx.doi.org/10.1080/00222930902807783@Syzeuctus sp. C                                      Madagascar                            NHM723885        EU378361
NHM723908@@http://dx.doi.org/10.1080/00222930902807783@?Callidora sp. A                                   Madagascar                            NHM723908   EU378386
 NHM723912@@http://dx.doi.org/10.1080/00222930902807783@?Callidora sp. B                                   Madagascar                            NHM723912   EU378387
NHM723910@@http://dx.doi.org/10.1080/00222930902807783@Casinaria sp. B                                      Madagascar                            NHM723910        EU378391
NHM723863 @@http://dx.doi.org/10.1080/00222930902807783@Eriborus sp.                                         Madagascar                            NHM723863        EU378407
NHM723893 @@http://dx.doi.org/10.1080/00222930902807783@Melalophacharops sp. B 10                            Madagascar                            NHM723893   EU378413
NHM723892@@http://dx.doi.org/10.1080/00222930902807783@Venturia sp.                                         Madagascar                            NHM723892   EU378418
NHM723905@@http://dx.doi.org/10.1080/00222930902807783@Temelucha sp. B                                     Madagascar                            NHM723905        EU378433
 NHM723907 @@http://dx.doi.org/10.1080/00222930902807783@Compsophorus seyrigi Heinrich                             Madagascar                            NHM723907        EU378582
NHM723882  @@http://dx.doi.org/10.1080/00222930902807783@Stenobenyllus pictus Heinrich                         Madagascar                            NHM723882        EU378612
  NHM723906    @@http://dx.doi.org/10.1080/00222930902807783@Vulgichneumon sp.                                     Madagascar                            NHM723906        EU378614
NHM723927@@http://dx.doi.org/10.1080/00222930902807783@gen. sp. indet.                                    Madagascar                            NHM723927   EU378633
NHM670964@@http://dx.doi.org/10.1080/00222930902807783@Mesochorus sp. M                                      Madagascar                            NHM670964        EU378642
NHM671023 @@http://dx.doi.org/10.1080/00222930902807783@Mesochorus sp. N                                      Madagascar                            NHM671023        EU378643
 NHM670937@@http://dx.doi.org/10.1080/00222930902807783@Mesochorus (“Stictopisthus”) sp. O                    Madagascar                            NHM670937        EU378645
NHM673507@@http://dx.doi.org/10.1080/00222930902807783@Mesochorus sp. P 39                                   Madagascar                            NHM673507        EU378640
NHM671042@@http://dx.doi.org/10.1080/00222930902807783@Mesochorus (“Stictopisthus”)sp. Q                     Madagascar                            NHM671042        EU378646
NHM670971  @@http://dx.doi.org/10.1080/00222930902807783@Mesochorus sp. R                                      Madagascar                            NHM670971        EU378647
NHM671013 @@http://dx.doi.org/10.1080/00222930902807783@Mesochorus sp. S                                      Madagascar                            NHM671013        EU378644
NHM671024   @@http://dx.doi.org/10.1080/00222930902807783@Mesochorus sp. T                                      Madagascar                            NHM671024        EU378648
NHM670823@@http://dx.doi.org/10.1080/00222930902807783@Mesochorus sp. U 40                                   Madagascar                            NHM670823   EU378641
NHM670988 @@http://dx.doi.org/10.1080/00222930902807783@Mesochorus sp. V                                      Madagascar                            NHM670988   EU378649
NHM723911@@http://dx.doi.org/10.1080/00222930902807783@Exochus sp. C                                         Madagascar                            NHM723911   EU378675
NHM673562 @@http://dx.doi.org/10.1080/00222930902807783@Laticoleus unicolor Gauld and Mitchell               Madagascar                            NHM673562   EU378712
NHM723913@@http://dx.doi.org/10.1080/00222930902807783@Eusterinx sp. A                                      Madagascar                            NHM723913        EU378737
NHM670934 @@http://dx.doi.org/10.1080/00222930902807783@Erythrodolius sp. B                                    Madagascar                            NHM670934        EU378780
NHM670788@@http://dx.doi.org/10.1080/00222930902807783@Icariomimus sp.                                        Madagascar                            NHM670788        EU378781
NHM723935@@http://dx.doi.org/10.1080/00222930902807783@Xanthophenax depressor Seyrig                      Madagascar                            NHM723935        EU378809
NHM670781@@http://dx.doi.org/10.1080/00222930902807783@Xanthophenax sp. A                                 Madagascar                            NHM670781        EU378810
NHM670799  @@http://dx.doi.org/10.1080/00222930902807783@Xanthophenax sp. B                                 Madagascar                            NHM670799        EU378811
